Year;Champion;Vice;Final
2020;Flamengo;Internacional;pontos corridos
2019;Flamengo;Santos;pontos corridos
2018;Palmeiras;Flamengo;pontos corridos
2017;Corinthians;Palmeiras;pontos corridos
2016;Palmeiras;Santos;pontos corridos
2015;Corinthians;Atlético Mineiro;pontos corridos
2014;Cruzeiro;São Paulo;pontos corridos
2013;Cruzeiro;Grêmio;pontos corridos
2012;Fluminense;Atlético-MG;pontos corridos
2011;Corinthians;Vasco da Gama;pontos corridos
2010;Fluminense;Cruzeiro;pontos corridos
2009;Flamengo;Internacional;pontos corridos
2008;São Paulo;Grêmio;pontos corridos
2007;São Paulo;Santos;pontos corridos
2006;São Paulo;Internacional;pontos corridos
2005;Corinthians;Internacional;pontos corridos
2004;Santos;Atletico Paranaense;pontos corridos
2003;Cruzeiro;Santos;pontos corridos
2002;Santos;Corinthians;2 x 0 e 3 x 2
2001;Atletico Paranaense;São Caetano;4 x 2 e 1 x 0
2000;Vasco da Gama;São Caetano;1 x 1 e 3 x 1
1999;Corinthians;Atletico Mineiro;2 x 3, 2 x 0 e 0 x 0
1998;Corinthians;Cruzeiro;2 x 2, 1 x 1 e 2 x 0
1997;Vasco da Gama;Palmeiras;0x 0 e 0 x 0
1996;Grêmio;Portuguesa de Desportos;0 x 2 e 2 x 0
1995;Botafogo;Santos;2 x 1 e 1 x 1
1994;Palmeiras;Corinthians;3 x 1 e 1 x 1
1993;Palmeiras;Vitória;1 x 0 e 2 x 0
1992;Flamengo;Botafogo;3 x 0 e 2 x 2
1991;São Paulo;Bragantino;1 x 0 e 0 x 0
1990;Corinthians;São Paulo;1 x 0 e 1 x 0
1989;Vasco da Gama;São Paulo;1 x 0
1988;Bahia;Internacional;2 x 1 e 0 x 0
1987 (1);Sport;Guarani;1 x 1 e 1 x 0
1986;São Paulo;Guarani;1x1, 3x3 (4x3 penais)
1985;Coritiba;Bangu;1 x 1 (6x5 penais)
1984;Fluminense;Vasco da Gama;1 x 0 e 0 x 0
1983;Flamengo;Santos;1 x 2 e 3 x 0
1982;Flamengo;Grêmio;1 x 1, 0 x 0 e 1 x 0
1981;Grêmio;São Paulo;2 x 1 e 1 x 0
1980;Flamengo;Atletico Mineiro;0 x 1 e 3 x 2
1979;Internacional (Invicto);Vasco da Gama;2 x 0 e 2 x 1
1978;Guarani;Palmeiras;1 x 0 e 1 x 0
1977;São Paulo;Atletico Mineiro;0 x 0 (3x2 penais)
1976;Internacional;Corinthians;2 x 0
1975;Internacional;Cruzeiro;1 x 0
1974;Vasco da Gama;Cruzeiro;2 x 1
1973;Palmeiras;São Paulo;-
1972;Palmeiras;Botafogo;0 x 0
1971;Atletico Mineiro;São Paulo;-
